"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.7619047619047619","0.25","0.5952380952380952","21","12","1.9166666666666667","4","1.75","5","1.4"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.6666666666666667","0.23809523809523808","0.6071428571428571","21","11","2.090909090909091","4","1","6","1.3333333333333333"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.5714285714285714","0.23809523809523808","0.6190476190476191","21","12","1.8333333333333333","3","1.3333333333333333","6","1.1666666666666667"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.7619047619047619","0.25","0.6071428571428571","21","11","2","4","1.75","6","1.3333333333333333"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.75","0.225","0.6375","20","11","2","4","1.25","5","1.6"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.8275862068965518","0.25","0.6206896551724138","29","15","1.8666666666666667","6","1.8333333333333333","8","1.75"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.8148148148148149","0.25","0.6111111111111112","27","15","1.6666666666666667","4","1.75","8","2.125"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.8928571428571428","0.25","0.5892857142857143","28","16","2.1875","3","1.3333333333333333","9","1.5555555555555556"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","1.85","0.2375","0.6625","20","11","2","4","1.25","5","2"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.7142857142857142","0.25","0.6190476190476191","21","12","1.8333333333333333","5","1.8","4","1.25"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","2.1379310344827585","0.25","0.6206896551724138","29","15","2.3333333333333335","6","2.1666666666666665","8","1.75"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","1.9","0.225","0.65","20","10","2.1","4","1.25","6","2"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.8571428571428572","0.25","0.6190476190476191","21","12","2.0833333333333335","3","1.6666666666666667","6","1.5"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.8148148148148149","0.25","0.6203703703703703","27","15","1.6666666666666667","4","1.75","8","2.125"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.088235294117647","0.25","0.6176470588235294","34","17","2.2941176470588234","6","2.1666666666666665","11","1.7272727272727273"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","2.2857142857142856","0.25","0.6071428571428571","21","11","2.909090909090909","4","1.75","6","1.5"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","2.0952380952380953","0.23809523809523808","0.6547619047619048","21","13","2.3076923076923075","3","1.3333333333333333","5","2"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","2.3333333333333335","0.23809523809523808","0.6071428571428571","21","11","3.272727272727273","4","1","6","1.5"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","1.95","0.2375","0.6625","20","10","2.1","4","1.5","6","2"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.2857142857142856","0.25","0.6190476190476191","21","11","2.909090909090909","4","1.75","6","1.5"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.4848484848484849","0.22727272727272727","0.6363636363636364","33","18","1.3888888888888888","5","1.8","10","1.5"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.088235294117647","0.25","0.625","34","16","2.375","6","2.1666666666666665","12","1.6666666666666667"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.1904761904761907","0.25","0.6190476190476191","21","12","2.3333333333333335","3","2","6","2"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.3333333333333335","0.23809523809523808","0.6547619047619048","21","13","2.6923076923076925","3","1.3333333333333333","5","2"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.6","0.25","0.66","25","15","1.8","3","1.3333333333333333","7","1.2857142857142858"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","1.9259259259259258","0.25","0.6111111111111112","27","15","1.8666666666666667","4","1.75","8","2.125"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.5238095238095237","0.25","0.6190476190476191","21","11","3.090909090909091","4","2","6","1.8333333333333333"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.619047619047619","0.25","0.6190476190476191","21","11","3.090909090909091","4","2","6","2.1666666666666665"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.619047619047619","0.25","0.6190476190476191","21","11","3.090909090909091","4","2","6","2.1666666666666665"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","2.619047619047619","0.25","0.6190476190476191","21","11","3.090909090909091","4","2","6","2.1666666666666665"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.4761904761904763","0.25","0.6190476190476191","21","12","2.5","3","2.3333333333333335","6","2.5"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","9","2.619047619047619","0.25","0.6190476190476191","21","11","3.090909090909091","4","2","6","2.1666666666666665"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","9","1.3157894736842106","0.23684210526315788","0.6710526315789473","19","9","1","4","1.25","6","1.8333333333333333"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","10","2.619047619047619","0.25","0.6190476190476191","21","11","3.090909090909091","4","2","6","2.1666666666666665"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.323529411764706","0.25","0.625","34","16","2.5","6","2.1666666666666665","12","2.1666666666666665"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.5714285714285716","0.23809523809523808","0.6190476190476191","21","11","3.4545454545454546","4","1.25","6","1.8333333333333333"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.107142857142857","0.25","0.5892857142857143","28","16","2.1875","3","1.3333333333333333","9","2.2222222222222223"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.5714285714285716","0.23809523809523808","0.6190476190476191","21","11","3.4545454545454546","4","1.25","6","1.8333333333333333"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","11","2.25","0.25","0.6160714285714286","28","15","2.6","5","1.8","8","1.875"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.5714285714285716","0.25","0.6190476190476191","21","12","2.6666666666666665","3","2.3333333333333335","6","2.5"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.5714285714285716","0.25","0.6190476190476191","21","12","2.6666666666666665","3","2.3333333333333335","6","2.5"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","10","1.5789473684210527","0.23684210526315788","0.6710526315789473","19","9","1.3333333333333333","4","1.25","6","2.1666666666666665"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.5714285714285716","0.23809523809523808","0.6190476190476191","21","12","3.25","3","1.3333333333333333","6","1.8333333333333333"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.142857142857143","0.25","0.5892857142857143","28","16","2.25","3","1.3333333333333333","9","2.2222222222222223"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.7142857142857144","0.23809523809523808","0.6547619047619048","21","13","3.3076923076923075","3","1.3333333333333333","5","2"
