"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","max.hierarchy","average.polity.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","1","1.2380952380952381","2","1.3125","0.25","0.75","21","10","1.2","5","1.2","6","1.3333333333333333"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","2","1.5714285714285714","3","1.8181818181818181","0.25","0.75","21","10","1.5","5","1.4","6","1.8333333333333333"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","1","1.3333333333333333","3","1.4","0.25","0.75","21","10","1.3","2","1","9","1.4444444444444444"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","1","1.3636363636363635","3","1.4666666666666666","0.25","0.75","22","11","1.4545454545454546","5","1.4","6","1.1666666666666667"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","1","1.35","3","1.3333333333333333","0.25","0.75","20","10","1.4","3","1.6666666666666667","7","1.1428571428571428"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","2","1.5714285714285714","3","1.6666666666666667","0.25","0.75","21","10","1.6","3","1.3333333333333333","8","1.625"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","2","1.5","3","1.6666666666666667","0.25","0.75","22","11","1.6363636363636365","5","1.4","6","1.3333333333333333"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","2","1.45","3","1.5384615384615385","0.25","0.75","20","8","1.5","4","1.75","8","1.25"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","3","1.6666666666666667","3","1.9","0.25","0.75","21","10","1.7","4","2","7","1.4285714285714286"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","3","1.7619047619047619","4","1.9","0.25","0.75","21","9","1.8888888888888888","4","1.5","8","1.75"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","3","2.15","5","2.375","0.25","0.75","20","9","2.111111111111111","4","1.5","7","2.5714285714285716"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","4","2.0952380952380953","4","2.142857142857143","0.25","0.75","21","10","1.7","4","3","7","2.142857142857143"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","4","1.9523809523809523","5","2","0.25","0.75","21","9","2.2222222222222223","4","1.75","8","1.75"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","4","2.25","5","2.5714285714285716","0.25","0.75","20","9","2.2222222222222223","4","1.75","7","2.5714285714285716"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","3","1.5294117647058822","4","1.4545454545454546","0.25","0.75","17","5","1.8","5","1.8","7","1.1428571428571428"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","5","2.1904761904761907","5","2.142857142857143","0.25","0.75","21","9","2.4444444444444446","4","1.75","8","2.125"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","6","2.1904761904761907","5","2.142857142857143","0.25","0.75","21","9","2.4444444444444446","4","1.75","8","2.125"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","7","2.3333333333333335","5","2.1666666666666665","0.25","0.75","21","9","2.6666666666666665","4","1.75","8","2.25"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","50","50","50","false","false","8","2.4285714285714284","5","2.2","0.25","0.75","21","9","2.6666666666666665","4","1.75","8","2.5"
