
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla-population","etla-hierarchy","tlac-population","tlac-hierarchy","ocot-population","ocot-hierarchy"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.59375","0.25","0.6484375","32","10","1.7","10","1.4","12","1.6666666666666667"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4666666666666666","0.25","0.6333333333333333","30","15","1.4","6","1.1666666666666667","9","1.7777777777777777"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.9523809523809523","0.25","0.6428571428571429","21","10","2.1","7","1.8571428571428572","4","1.75"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.8571428571428572","0.24107142857142858","0.6517857142857143","28","13","1.7692307692307692","9","2","6","1.8333333333333333"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.7142857142857142","0.2261904761904762","0.6785714285714286","21","12","1.8333333333333333","6","1.8333333333333333","3","1"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.7619047619047619","0.2261904761904762","0.6785714285714286","21","12","1.9166666666666667","6","1.8333333333333333","3","1"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.5833333333333333","0.22916666666666666","0.6354166666666666","24","11","1.5454545454545454","8","1.75","5","1.4"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2","0.25","0.6428571428571429","21","10","2.1","7","2","4","1.75"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2","0.25","0.6428571428571429","21","10","2.1","7","2","4","1.75"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","2.1904761904761907","0.25","0.6309523809523809","21","11","2.3636363636363638","3","2","7","2"
